phrase,intent,parameters
Привет,chitchat,
Как дела?,chitchat,
Чем занимаешься?,chitchat,
Открой окно у водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Закрой пассажирское окно, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой стекло сзади на половину,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 50}"
Сделай температуру в кондиционере 20 градусов,ac_set,"{""temperature"": 20}"
Включи климат-контроль,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Включи обогрев сидения пассажира на максимум,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Сделай громкость на 10 процентов тише,volume_change,"{""delta"": -10}"
Уменьши громкость,volume_change,"{""direction"": ""down""}"
Поставь музыку погромче на 15,volume_change,"{""delta"": 15}"
Запусти навигацию до ближайшего ресторана,nav_start,"{""destination"": ""ближайший ресторан""}"
Как доехать до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Отмени навигацию,nav_cancel,
Позвони Андрею,call_start,"{""contact"": ""Андрей""}"
Прими входящий звонок,call_answer,
Положи трубку,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Поставь дворники на среднюю скорость,wipers_set,"{""speed"": ""medium""}"
Сделай свет ярче,volume_change,"{""delta"": 5}"
"Привет, как дела?",chitchat,
Как ты сегодня?,chitchat,
Включи радио на 95.0,radio_set,"{""frequency"": ""95.0""}"
Включи музыку,play_music,
Останови музыку,stop_music,
Следующий трек,next_track,
Вернись на предыдущий трек,previous_track,
Переключи на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Уменьши скорость вентилятора кондиционера,ac_fan_set,"{""speed"": ""low""}"
Сделай уровень вентилятора на максимум,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
Выключи рециркуляцию,ac_mode_set,"{""enabled"": false}"
Закрой люк,sunroof_close,
Приоткрой люк на 70 процентов,sunroof_set,"{""action"": ""open"", ""percent"": 70}"
Открой люк на полную,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Включи обогрев руля,wheel_heater_set,"{""state"": ""on""}"
Выключи обогрев руля,wheel_heater_set,"{""state"": ""off""}"
"Душно в машине, открой окно",window_set,"{""action"": ""open"", ""window"": ""all""}"
Какой у нас план на сегодня?,chitchat,
"Пожалуйста, сделай потише",volume_change,"{""direction"": ""down""}"
Настрой радио на 100.0,radio_set,"{""frequency"": ""100.0""}"
Открой окно у водителя,window_set,"{""action"": ""open"", ""window"": ""driver""}"
Приоткрой стекло пассажира на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 20}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
"Пожалуйста, открой окошко",window_set,"{""action"": ""open"", ""window"": ""driver""}"
Сделай температуру кондиционера 21 градус,ac_set,"{""temperature"": 21}"
Включи кондиционер,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Отключи кондиционер,ac_off,
Установи режим обдува,ac_mode_set,"{""enabled"": true}"
Настрой вентилятор на высокую скорость,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи обогрев сиденья пассажира на 80 процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 80}"
Включи обогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Включи обдув заднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Закрой люк полностью,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Приоткрой люк на 50 процентов,sunroof_set,"{""action"": ""set"", ""percent"": 50}"
Поставь радио на 102.5,radio_set,"{""frequency"": ""102.5""}"
Включи музыку,play_music,
Поставь на паузу,media_pause,
Сделай громче на 10,volume_change,"{""delta"": 10}"
Уменьши громкость на 15 процентов,volume_change,"{""delta"": -15}"
Выбери источник USB,media_source_set,"{""source"": ""usb""}"
Позвони Ивану,call_start,"{""contact"": ""Иван""}"
Ответь на звонок,call_answer,
Повесь трубку,call_hangup,
Как доехать до торгового центра?,nav_start,"{""destination"": ""торговый центр""}"
Отмени маршрут,nav_cancel,
Включи фары,headlights_set,"{""state"": ""on""}"
Включи дальний свет,high_beam_set,"{""state"": ""on""}"
Настрой дворники на авто,wipers_set,"{""speed"": ""auto""}"
Как дела?,chitchat,
Всё хорошо,chitchat,
Приоткрой окно у водителя на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 20}"
Закрой окно пассажира полностью,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Открой все окна на половину,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 50}"
Сделай температуру в кондиционере 22 градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
"Включи кондиционер, пожалуйста",ac_set,"{""state"": ""on"", ""temperature"": 24}"
Выключи кондиционер,ac_off,
Поставь рециркуляцию в климате,ac_mode_set,"{""enabled"": true}"
Сделай обдув на низкой скорости,ac_fan_set,"{""level"": 30, ""speed"": ""low""}"
Включи обогрев сиденья пассажира на семьдесят процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 70}"
Выключи обогрев на водительском сиденье,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Открой люк на тридцать процентов,sunroof_set,"{""action"": ""open"", ""percent"": 30}"
Закрой люк,sunroof_close,
Поставь радио на частоте 95.5,radio_set,"{""frequency"": ""95.5""}"
Сделай громче на восемь,volume_change,"{""delta"": 8}"
Уменьши громкость на десять,volume_change,"{""delta"": -10}"
Переключи на следующий трек,next_track,
"Стоп, музыка",stop_music,
Включи Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Как доехать до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Отмени навигацию,nav_cancel,
Позвони Анне,call_start,"{""contact"": ""Анна""}"
Ответь на звонок,call_answer,
Заверши разговор,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Увеличь скорость дворников,wipers_set,"{""speed"": ""high""}"
Включи обогрев руля,wheel_heater_set,"{""state"": ""on""}"
Как дела?,chitchat,
Что нового?,chitchat,
Открой окно водителя на три четверти,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 75}"
"Закрой окно у пассажира, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Сделай кондиционер потише,ac_fan_set,"{""level"": 30, ""speed"": ""low""}"
Включи обогрев сиденья,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
"Привет, как дела?",chitchat,
Поставь радио на 99.5,radio_set,"{""frequency"": ""99.5""}"
Сделай громче на двадцать процентов,volume_change,"{""delta"": 20}"
"Пожалуйста, включи кондиционер",ac_set,"{""state"": ""on"", ""temperature"": 21}"
Открой люк на двадцать пять процентов,sunroof_set,"{""action"": ""open"", ""percent"": 25}"
Как добраться до ближайшего кафе?,nav_start,"{""destination"": ""ближайшее кафе""}"
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
"Пожалуйста, выключи музыку",stop_music,
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
Сделай звук тише на десять,volume_change,"{""delta"": -10}"
Позвони Анне,call_start,"{""contact"": ""Анна""}"
Выключи обогрев сиденья у пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Установи громкость на восемьдесят процентов,volume_set,"{""level"": 80}"
Включи обогрев заднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Как отключить навигацию?,nav_cancel,
Переключи на следующий трек,next_track,
Открой окно у водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Закрой пассажирское окно,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой стекло сзади на половину,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 50}"
Закрой все окна полностью,window_set,"{""action"": ""close"", ""window"": ""all""}"
Включи кондиционер на двадцать два градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Установи обдув на авто,ac_mode_set,"{""enabled"": true}"
Увеличь скорость вентилятора на сто процентов,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи обогрев сиденья пассажира на восемьдесят,seat_heater_set,"{""seat"": ""passenger"", ""level"": 80}"
Сделай на сиденье водителя обогрев на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Включи вентилятор на сиденье водителя на шестьдесят процентов,seat_vent_set,"{""seat"": ""driver"", ""level"": 60}"
Отключи рециркуляцию воздуха,ac_mode_set,"{""enabled"": false}"
Включи обогрев лобового стекла,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Выключи обогрев заднего стекла,defrost_set,"{""state"": ""off"", ""target"": ""rear""}"
Открой люк на двадцать процентов,sunroof_set,"{""action"": ""open"", ""percent"": 20}"
Закрой люк,sunroof_close,
Сделай громче на десять,volume_change,"{""delta"": 10}"
Уменьши громкость на пятнадцать,volume_change,"{""delta"": -15}"
Поставь громкость на восемьдесят,volume_set,"{""level"": 80}"
Включи режим повторения для всех треков,media_repeat_set,"{""mode"": ""all""}"
Поставь радио на частоту 95.5,radio_set,"{""frequency"": ""95.5""}"
Включи музыку,play_music,
Приостанови воспроизведение,media_pause,
Позвони Анне,call_start,"{""contact"": ""Анна""}"
Ответь на звонок,call_answer,
Заверши разговор,call_hangup,
Как доехать до ТЦ?,nav_start,"{""destination"": ""ТЦ""}"
Отмени навигацию,nav_cancel,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Установи скорость стеклоочистителей на авто,wipers_set,"{""speed"": ""auto""}"
Включи ручной режим для дворников,rain_set,"{""mode"": ""manual""}"
Как дела?,chitchat,
Привет,chitchat,
Как ты?,chitchat,
Приоткрой окно водителя,window_set,"{""action"": ""open"", ""window"": ""driver""}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
"Можно, пожалуйста, приоткрыть пассажирское окно на 30 процентов?",window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 30}"
Сделай климат 22 градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
Поставь уровень вентилятора на 70 процентов,ac_fan_set,"{""level"": 70, ""speed"": ""medium""}"
Включи обогрев сиденья пассажира на максимум,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Выключи обогрев сиденья,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Открой люк на 50 процентов,sunroof_set,"{""action"": ""open"", ""percent"": 50}"
Закрой люк,sunroof_close,
Увеличь громкость на 10,volume_change,"{""delta"": 10}"
Сделай потише на двадцать процентов,volume_change,"{""direction"": ""down""}"
Задай уровень громкости на 75,volume_set,"{""level"": 75}"
Выключи звук,volume_mute_set,"{""state"": ""on""}"
Поставь музыку с USB,media_source_set,"{""source"": ""usb""}"
Включи повтор трека,media_repeat_set,"{""mode"": ""one""}"
Переключи на следующий трек,next_track,
Как доехать до ближайшей заправки?,nav_start,"{""destination"": ""ближайшая заправка""}"
Отмени маршрут,nav_cancel,
Позвони маме,call_start,"{""contact"": ""мама""}"
Ответь на звонок,call_answer,
Заверши звонок,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Установи стеклоочистители на высокую скорость,wipers_set,"{""speed"": ""high""}"
Включи режим дождя на автомате,rain_set,"{""mode"": ""auto""}"
Привет,chitchat,
Как дела?,chitchat,
Приоткрой окно водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Открой все окна, пожалуйста",window_set,"{""action"": ""open"", ""window"": ""all""}"
Закрой окно у пассажира полностью,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Сделай кондиционер потеплее до двадцати двух градусов,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Поставь уровень вентилятора на максималку,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи обогрев сиденья пассажира на восемьдесят процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 80}"
Выключи обогрев сидения водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Открой люк на двадцать процентов,sunroof_set,"{""action"": ""open"", ""percent"": 20}"
Закрой люк,sunroof_close,
Сделай громче на десять,volume_change,"{""delta"": 10}"
Убавь громкость на восемь,volume_change,"{""delta"": -8}"
Выключи звук,volume_mute_set,"{""state"": ""on""}"
Сделай громкость на шестьдесят процентов,volume_set,"{""level"": 60}"
Поставь радио на девяносто два целых пять,radio_set,"{""frequency"": ""92.5""}"
Следующий трек,next_track,
Вернись на предыдущий трек,previous_track,
Запусти музыку,play_music,
Останови воспроизведение,stop_music,
Навигируй меня до станции метро,nav_start,"{""destination"": ""станция метро""}"
Как добраться до Красной площади?,nav_start,"{""destination"": ""Красная площадь""}"
Отмени маршрут,nav_cancel,
Позвони Игорю,call_start,"{""contact"": ""Игорь""}"
Ответь на звонок,call_answer,
Сбрось вызов,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Установи дворники на авто,rain_set,"{""mode"": ""auto""}"
Включи дворники на максимуме,wipers_set,"{""speed"": ""high""}"
Привет,chitchat,
Как дела?,chitchat,
Что нового?,chitchat,
Открой окно водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Закрой заднее пассажирское окно,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой окошко,window_set,"{""action"": ""open"", ""window"": ""all""}"
Включи кондиционер на двадцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Выключи кондиционер,ac_off,
Настрой кондиционер на двадцать пять градусов,ac_set,"{""state"": ""on"", ""temperature"": 25}"
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
Увеличь скорость вентилятора до восьмидесяти процентов,ac_fan_set,"{""level"": 80, ""speed"": ""high""}"
Включи обогрев сиденья водителя на тридцать процентов,seat_heater_set,"{""seat"": ""driver"", ""level"": 30}"
Включи обогрев сиденья пассажира на сто процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Открой люк на восемьдесят процентов,sunroof_set,"{""action"": ""open"", ""percent"": 80}"
Закрой люк,sunroof_close,
Включи дворники на низкой скорости,wipers_set,"{""speed"": ""low""}"
Сделай музыку громче на десять,volume_change,"{""delta"": 10}"
Поставь громкость на шестьдесят процентов,volume_set,"{""level"": 60}"
Выключи звук,volume_mute_set,"{""state"": ""on""}"
Начни проигрывать музыку,play_music,
Поставь радио на восемьдесят семь и пять,radio_set,"{""frequency"": ""87.5""}"
Как доехать до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Отмени маршрут,nav_cancel,
Позвони маме,call_start,"{""contact"": ""мама""}"
Ответь на звонок,call_answer,
Положи трубку,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Как дела?,chitchat,
"Душно в машине, открой стекло",window_set,"{""action"": ""open"", ""window"": ""all""}"
Сделай громче на пятьдесят процентов,volume_change,"{""delta"": 50}"
Включи музыку на всю катушку,play_music,
Приоткрой окно у водителя на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 20}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
Сделай кондиционер на тридцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 30}"
Выключи кондиционер,ac_off,
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Поставь обогрев сиденья пассажира на восемьдесят процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 80}"
Закрой люк полностью,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Включи музыку,play_music,
Сделай громче на пять,volume_change,"{""delta"": 5}"
Поставь радио на 102.5,radio_set,"{""frequency"": ""102.5""}"
Как доехать до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Позвони Андрею,call_start,"{""contact"": ""Андрей""}"
"Можно, пожалуйста, уменьшить громкость?",volume_change,"{""direction"": ""down""}"
Включи дворники на среднем уровне,wipers_set,"{""speed"": ""medium""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Как дела?,chitchat,
Приоткрой стекло с пассажирской стороны,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Сделай громкость на семьдесят процентов,volume_set,"{""level"": 70}"
Установи кондиционер на 20 градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Переключи на следующий трек,next_track,
Открой окно водителя на пятнадцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 15}"
"Закрой пассажирское окно полностью, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой все окна на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 30}"
Можно открыть стекло у водителя?,window_set,"{""action"": ""open"", ""window"": ""driver""}"
Включи кондиционер на 22 градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Поставь температуру кондиционера на 18,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Выключи кондиционер,ac_off,
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
Выключи обогрев сиденья пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Увеличь уровень обогрева сиденья водителя до 80,seat_heater_set,"{""seat"": ""driver"", ""level"": 80}"
Включи обогрев сиденья на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Поставь вентилятор кондиционера на низкий уровень,ac_fan_set,"{""level"": 30, ""speed"": ""low""}"
Сделай скорость вентилятора кондиционера высокой,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи задний обогрев,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Закрой люк на пятьдесят процентов,sunroof_set,"{""action"": ""close"", ""percent"": 50}"
Открой люк,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Поставь громкость на 70 процентов,volume_set,"{""level"": 70}"
Сделай громче на десять,volume_change,"{""delta"": 10}"
Уменьши громкость на пять,volume_change,"{""delta"": -5}"
Выключи музыку,stop_music,
Переключи на следующую песню,next_track,
Поставь радио на частоте 101.2,radio_set,"{""frequency"": ""101.2""}"
Начни навигацию до ближайшей заправки,nav_start,"{""destination"": ""ближайшая заправка""}"
Как добраться до Кремля?,nav_start,"{""destination"": ""Кремль""}"
Позвони Андрею,call_start,"{""contact"": ""Андрей""}"
Ответь на звонок,call_answer,
Заканчивай звонок,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Поставь фары на автомат,headlights_set,"{""state"": ""auto""}"
Увеличь скорость дворников,wipers_set,"{""speed"": ""high""}"
Как дела?,chitchat,
Сколько времени?,chitchat,
Приоткрой окно у водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Закрой пассажирское окно,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
"Пожалуйста, открой все окна",window_set,"{""action"": ""open"", ""window"": ""all""}"
Закрой окошко сзади,window_set,"{""action"": ""close"", ""window"": ""rear""}"
Сделай кондиционер на 20 градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Включи климат-контроль и установи 22 градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Сделай температуру в кондиционере 25,ac_set,"{""state"": ""on"", ""temperature"": 25}"
Настрой обогрев сиденья водителя на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Включи обогрев сиденья пассажира на 50 процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Выключи обогрев сиденья,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Включи вентиляцию для водительского сидения,seat_vent_set,"{""seat"": ""driver"", ""level"": 100}"
Включи рециркуляцию в климат-контроле,ac_mode_set,"{""enabled"": true}"
Выключи рециркуляцию,ac_mode_set,"{""enabled"": false}"
Включи дворники на низкой скорости,wipers_set,"{""speed"": ""low""}"
Включи дворники на авто,wipers_set,"{""speed"": ""auto""}"
Выключи дворники,wipers_set,"{""speed"": ""off""}"
Сделай громче на 10,volume_change,"{""delta"": 10}"
Убавь громкость на 5,volume_change,"{""delta"": -5}"
Установи громкость на 70 процентов,volume_set,"{""level"": 70}"
Поставь радио на 99.5,radio_set,"{""frequency"": ""99.5""}"
Слушай следующую композицию,next_track,
Приостанови музыку,media_pause,
"Пожалуйста, поставь источник на Bluetooth",media_source_set,"{""source"": ""bluetooth""}"
Как доехать до ближайшего ресторана?,nav_start,"{""destination"": ""ближайший ресторан""}"
Построй маршрут до дома,nav_start,"{""destination"": ""дом""}"
Отмени навигацию,nav_cancel,
Позвони Василию,call_start,"{""contact"": ""Василий""}"
Ответь на звонок,call_answer,
Заверши разговор,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Поставь фары на авто,headlights_set,"{""state"": ""auto""}"
Выключи фары,headlights_set,"{""state"": ""off""}"
"Привет, как дела?",chitchat,
Как ты сегодня?,chitchat,
Расскажи анекдот,chitchat,
Закрой окно водителя,window_set,"{""action"": ""close"", ""window"": ""driver""}"
"Пожалуйста, открой пассажирское окно на десять процентов",window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 10}"
