phrase,intent,parameters
"Дворники убавь скорость, только моросит",wipers_set,"{""speed"": ""slow""}"
"Активируй режим дождя, пусть чувствительность выше",rain_set,"{""sensitivity"": ""high""}"
"Руль тёплый включи, пожалуйста",wheel_heater_set,"{""state"": ""on""}"
"Красиво сегодня: солнце печёт, серпантин тихо шепчет — наслаждаюсь поездкой",chitchat,
Открой левое переднее окно наполовину,window_set,"{""window"": ""front_left"", ""position"": ""50%"", ""action"": ""open""}"
Закрой заднее правое окно,window_set,"{""window"": ""rear_right"", ""action"": ""close""}"
Открой все окна,window_set,"{""window"": ""all"", ""action"": ""open""}"
Опусти окно,window_set,"{""action"": ""down""}"
Подними стекло пассажира,window_set,"{""window"": ""front_right"", ""action"": ""close""}"
Сделай кондиционер на двадцать два,ac_set,"{""temperature"": ""22""}"
Понизь температуру на три градуса,ac_set,"{""delta"": ""3"", ""direction"": ""down""}"
Выключи кондиционер,ac_off,
Переключи режим на рециркуляцию,ac_mode_set,"{""mode"": ""recirculation""}"
Включи обдув на лобовое стекло,defrost_set,"{""side"": ""front"", ""action"": ""on""}"
Подогрей водительское сиденье на третью ступень,seat_heater_set,"{""seat"": ""driver"", ""level"": ""3""}"
Включи вентиляцию сиденья переднего пассажира на максимальную,seat_vent_set,"{""seat"": ""front_right"", ""level"": ""max""}"
Выключи подогрев сидений,seat_heater_set,"{""seat"": ""all"", ""action"": ""off""}"
Закрой люк,sunroof_close,
Приоткрой люк на двадцать процентов,sunroof_set,"{""position"": ""20%"", ""action"": ""open""}"
"Полностью открой панорамный люк, пожалуйста",sunroof_set,"{""position"": ""100%"", ""action"": ""open""}"
Молчи музыку,stop_music,
Поставь песню от Адель,play_music,"{""artist"": ""Адель""}"
Воспроизведи плейлист 'Утренний драйв',play_music,"{""playlist"": ""Утренний драйв""}"
Пауза,media_pause,
Следующий трек,next_track,
Предыдущий трек,previous_track,
Сделай громче,volume_change,"{""direction"": ""up""}"
Убавь звук на семь,volume_change,"{""amount"": ""7"", ""direction"": ""down""}"
Увеличь громкость на двадцать процентов,volume_change,"{""amount"": ""20%"", ""direction"": ""up""}"
Сделай громкость пятьдесят процентов,volume_set,"{""level"": ""50%""}"
Выключи звук,volume_mute_set,"{""mute"": ""true""}"
Включи звук,volume_mute_set,"{""mute"": ""false""}"
Переключи источник на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Поставь повтор,media_repeat_set,"{""mode"": ""on""}"
Включи перемешивание,media_shuffle_set,"{""shuffle"": ""on""}"
Поставь FM сто одну точка два,radio_set_station,"{""station"": ""101.2""}"
Настрой радио на станцию Эхо Москвы,radio_set_station,"{""station"": ""Эхо Москвы""}"
Запусти навигатор до Красной площади,nav_start,"{""destination"": ""Красная площадь""}"
Прокладывай маршрут домой,nav_start,"{""destination"": ""дом""}"
Отмени навигацию,nav_cancel,
Сбрось разговор,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи фары,headlights_set,"{""state"": ""off""}"
Дальний свет врубить,high_beam_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Поставь дворники на интервальный режим,wipers_set,"{""mode"": ""intermittent""}"
Включи автоматическое срабатывание дождевых датчиков,rain_set,"{""state"": ""on""}"
Выключи дождевой режим,rain_set,"{""state"": ""off""}"
Подогрей руль,wheel_heater_set,"{""state"": ""on""}"
Выключи подогрев руля,wheel_heater_set,"{""state"": ""off""}"
"Протопи лобовое стекло, пожалуйста, срочно",defrost_set,"{""side"": ""front"", ""intensity"": ""high"", ""action"": ""on""}"
"Сделай кондиционер на экономичный режим, пожалуйста, чтобы не тратить бензин",ac_mode_set,"{""mode"": ""eco""}"
Включи рециркуляцию воздуха внутри салона,ac_mode_set,"{""mode"": ""recirculation""}"
Поставь на повтор одну песню,media_repeat_set,"{""mode"": ""one""}"
Перемешай альбом,media_shuffle_set,"{""scope"": ""album""}"
Играй следующую радиостанцию,radio_set,"{""action"": ""next""}"
"Громко, я не слышу",volume_change,"{""direction"": ""up""}"
"Слушай, включи джаз со вспомогательного USB",play_music,"{""genre"": ""джаз"", ""source"": ""USB""}"
Хватит музыки,stop_music,
Расскажи что-нибудь смешное,chitchat,
"Спасибо, молодец",chitchat,
Открой окно водителя на половину,window_set,"{""window"": ""front_left"", ""position"": ""50%""}"
Проветри машину — все окна вниз,window_set,"{""window"": ""all"", ""position"": ""down""}"
Приоткрой боковое окно,window_set,
Сделай кондиционер на двадцать градусов,ac_set,"{""temperature"": ""20""}"
"Похолоднее, градусов восемнадцать",ac_set,"{""temperature"": ""18""}"
"Хватит мороза, выключи климат",ac_off,
Переключи климат на рециркуляцию,ac_mode_set,"{""mode"": ""recirculation""}"
Пусть дует только в ноги,ac_mode_set,"{""mode"": ""foot""}"
Поставь вентилятор на максимум,ac_fan_set,"{""fan_level"": ""max""}"
Убавь скорость вентилятора на две ступени,ac_fan_set,"{""delta"": -2}"
Подогрей моё сиденье,seat_heater_set,"{""seat"": ""driver""}"
Включи подогрев пассажира на три,seat_heater_set,"{""seat"": ""front_passenger"", ""level"": 3}"
Охлади водительское сиденье,seat_vent_set,"{""seat"": ""driver"", ""state"": ""on""}"
"Включи обдув стекол, срочно",defrost_set,"{""target"": ""front""}"
Разморозь заднее стекло,defrost_set,"{""target"": ""rear""}"
Открой люк полностью,sunroof_set,"{""position"": ""open""}"
Наклони люк на пару сантиметров,sunroof_set,"{""position"": ""tilt"", ""amount"": ""2cm""}"
Включи музыку,play_music,
Поставь что-нибудь бодрое,play_music,
Останови музыку,stop_music,
Следующая,next_track,
Назад,previous_track,
Сделай потише,volume_change,
Громкость пять,volume_set,"{""level"": 5}"
Переключись на радио,media_source_set,"{""source"": ""radio""}"
"Bluetooth, пожалуйста",media_source_set,"{""source"": ""bluetooth""}"
Повтор включи,media_repeat_set,"{""mode"": ""all""}"
Случайный порядок выключи,media_shuffle_set,"{""shuffle"": false}"
Включи FM,radio_set,"{""band"": ""FM""}"
Настрой на 101.2,radio_set_station,"{""frequency"": ""101.2""}"
Поезжай домой,nav_start,"{""destination"": ""дом""}"
Прокладывай маршрут до ближайшей заправки,nav_start,"{""destination"": ""ближайшая заправка""}"
Позвони Анне,call_start,"{""contact"": ""Анна""}"
Ответь,call_answer,
Фары на авто,headlights_set,"{""mode"": ""auto""}"
Дальний включи,high_beam_set,"{""state"": ""on""}"
Включи дворники на среднюю,wipers_set,"{""level"": ""medium""}"
Включи датчик дождя,rain_set,"{""state"": ""on""}"
Подогрей рулевое колесо,wheel_heater_set,"{""state"": ""on""}"
Как дела?,chitchat,
Сегодня холодно на улице,chitchat,
"Пожалуйста, сделай подогрев сиденья водителя на максимум, мне холодно",seat_heater_set,"{""seat"": ""driver"", ""level"": ""max""}"
А можно включить вентиляцию сиденья пассажира?,seat_vent_set,"{""seat"": ""front_passenger"", ""state"": ""on""}"
"Отогрей стекла полностью, впереди снег",defrost_set,"{""target"": ""front"", ""intensity"": ""max""}"
Приоткрой люк на десять процентов,sunroof_set,"{""position"": ""open"", ""percent"": 10}"
Повтор песни только одну,media_repeat_set,"{""mode"": ""one""}"
Включи перемешивание плейлиста,media_shuffle_set,"{""shuffle"": true}"
Переключись на станцию «Радио Маяк»,radio_set_station,"{""station_name"": ""Радио Маяк""}"
Добавь громкости на пять,volume_change,"{""delta"": 5}"
Громкость ноль,volume_set,"{""level"": 0}"
"Пожалуйста, включи мой плейлист Утро и начни с первых треков, чтобы разбудить всех",play_music,
Закрой переднее правое окно,window_set,"{""position"": ""front_right""}"
Приоткрой люк чуть-чуть,sunroof_set,
Полностью закрой панорамный люк,sunroof_close,
Понизь температуру до двадцати двух,ac_set,"{""temperature"": 22}"
Громкость 5,volume_set,"{""level"": 5}"
Прибавь звук на три,volume_change,"{""delta"": 3}"
Включи кондиционер на авто,ac_mode_set,
Переключи обдув на лобовое стекло,defrost_set,
Включи подогрев сиденья водителя на максималку,seat_heater_set,"{""side"": ""driver"", ""level"": ""max""}"
Отключи подогрев заднего правого сидения,seat_heater_set,"{""side"": ""rear_right"", ""state"": ""off""}"
"Вентиляция сидений включи, пожалуйста",seat_vent_set,
Охлади кресло водителя на минимуме,seat_vent_set,"{""side"": ""driver"", ""level"": ""min""}"
"Притяни зеркала, пжалуйста",chitchat,
Проиграй что-нибудь спокойное,play_music,"{""mood"": ""спокойное""}"
Поставь следующую песню,next_track,
Сделай тише на семь,volume_change,"{""delta"": 7}"
Настрой на FM 103.5,radio_set_station,"{""frequency"": 103.5}"
Ищи станцию 'Радио Маяк',radio_set_station,"{""station"": ""Радио Маяк""}"
Поменяй источник на Bluetooth,media_source_set,"{""source"": ""Bluetooth""}"
Включи повтор,media_repeat_set,"{""state"": ""on""}"
Перемешай плейлист,media_shuffle_set,"{""state"": ""on""}"
Назначь маршрут до Красной площади,nav_start,"{""destination"": ""Красная площадь""}"
Отмени маршрут,nav_cancel,
Позвони Марине,call_start,"{""contact"": ""Марина""}"
Сбрось вызов,call_hangup,
Выключи фары через пять минут,headlights_set,"{""delay_minutes"": 5}"
Дальний свет включи,high_beam_set,
Выключи дальний,high_beam_set,
Включи дворники на режим 3,wipers_set,"{""level"": 3}"
Автоматический режим дворников,wipers_set,
Отключи обогрев руля,wheel_heater_set,
Включи обдув на максимум и направь в лицо,ac_fan_set,"{""level"": ""max"", ""direction"": ""face""}"
Снизь скорость вентилятора на два шага,ac_fan_set,"{""delta"": 2}"
Муте музыку,volume_mute_set,"{""state"": ""on""}"
Верни звук,volume_mute_set,"{""state"": ""off""}"
Поставь громкость на ноль,volume_set,"{""level"": 0}"
Предыдущая,previous_track,
Сделай обогрев сидений на три,seat_heater_set,"{""level"": 3}"
Охлади салон,ac_set,"{""action"": ""cool""}"
Автокондиционер выключи,ac_off,
Чуть прикрой окно слева,window_set,"{""position"": ""left"", ""amount"": ""slightly""}"
"Проверь, что радио работает",chitchat,
Включи Bluetooth и подсоедини телефон,media_source_set,"{""source"": ""Bluetooth"", ""action"": ""connect""}"
"Поставь навигатор до дома, пожалуйста, быстрее покажи маршрут объездом",nav_start,"{""destination"": ""дом"", ""route"": ""detour""}"
Сыграй новости,play_music,"{""content"": ""новости""}"
"Спасибо, ты прекрасен",chitchat,
Открой панорамный люк на треть,sunroof_set,"{""position"": ""one_third""}"
Опусти переднее левое окно наполовину,window_set,"{""side"": ""front_left"", ""position"": ""half""}"
Закрой все окна,window_set,"{""target"": ""all""}"
Подними заднее правое окно,window_set,"{""side"": ""rear_right"", ""position"": ""up""}"
"Включи кондиционер, пожалуйста",ac_set,"{""state"": ""on""}"
Выключи климат-контроль,ac_off,
Сделай прохладнее на два градуса,ac_set,"{""delta"": -2}"
Режим кондиционера — рециркуляция,ac_mode_set,"{""mode"": ""recirculation""}"
Переключи обдув на максимум,ac_fan_set,"{""level"": ""max""}"
Убавь скорость вентилятора до трёх,ac_fan_set,"{""level"": 3}"
Подогрей водительское сиденье на два,seat_heater_set,"{""seat"": ""driver"", ""level"": 2}"
Отмени подогрев заднего сиденья,seat_heater_set,"{""seat"": ""rear"", ""level"": 0}"
Вентиляцию сидений выключи,seat_vent_set,"{""state"": ""off""}"
Включи обогрев лобового стекла,defrost_set,"{""target"": ""front"", ""state"": ""on""}"
"Разогрей заднее стекло, пожалуйста",defrost_set,"{""target"": ""rear"", ""state"": ""on""}"
Поставь панорамный люк наполовину,sunroof_set,"{""position"": ""half""}"
Закрой люк немедленно!,sunroof_close,
Настрой радио на 101.5 FM,radio_set_station,"{""frequency"": 101.5, ""band"": ""FM""}"
Переключись на следующую радиостанцию,radio_set,
Поставь мою любимую станцию,radio_set,
Начни навигацию домой,nav_start,"{""destination"": ""дом""}"
"Построй, пожалуйста, самый быстрый маршрут до аэропорта Шереметьево с учётом пробок",nav_start,"{""destination"": ""аэропорт Шереметьево""}"
Позвони Олегу,call_start,"{""contact"": ""Олег""}"
Заверши вызов,call_hangup,
"Хочу спокойную музыку для долгой поездки, включи плейлист 'Ночью на трассе' и сделай чуть громче",play_music,"{""playlist"": ""Ночью на трассе""}"
Прекрати воспроизведение,stop_music,
Поставь на паузу,media_pause,
"Следующий трек, пожалуйста",next_track,
Верни предыдущую композицию,previous_track,
Громче!,volume_change,
Прибавь громкость на пять,volume_change,"{""delta"": 5}"
Уменьши звук на три деления,volume_change,"{""delta"": -3}"
Установи громкость на двадцать процентов,volume_set,"{""level"": 20}"
Без звука,volume_mute_set,"{""mute"": true}"
Переключись на FM,media_source_set,"{""source"": ""FM""}"
Включи повтор альбома,media_repeat_set,"{""mode"": ""album""}"
Повтори эту песню,media_repeat_set,"{""mode"": ""track""}"
Отключи перемешивание,media_shuffle_set,"{""state"": false}"
Включи дальний свет,high_beam_set,"{""state"": ""on""}"
Фары в автоматический режим,headlights_set,"{""mode"": ""auto""}"
Включи дворники на первую скорость,wipers_set,"{""level"": 1}"
Установи режим дождя — автомат,rain_set,"{""mode"": ""auto""}"
Повысить чувствительность датчика дождя,rain_set,"{""sensitivity"": ""high""}"
Как у тебя дела?,chitchat,
"Знаешь какую-нибудь хорошую шутку про автомобили? Расскажи, пожалуйста.",chitchat,
"Очень холодно на руках и ногах, включи отопление салона и нагрей до 24 градусов",ac_set,"{""temperature"": 24}"
Наполовину опусти задние стекла,window_set,"{""target"": ""rear"", ""position"": ""half""}"
"Пожалуйста, убавь громкость до нуля",volume_set,"{""level"": 0}"
"Мне жарко в салоне, опусти правое переднее окно наполовину, пожалуйста",window_set,"{""window"": ""правое переднее"", ""position"": ""50%""}"
Закрой заднее стекло полностью,window_set,"{""window"": ""заднее"", ""position"": ""closed""}"
Сделай температуру воздуха 21 градус,ac_set,"{""temperature"": 21}"
Понизь кондиционер до восемнадцати,ac_set,"{""temperature"": 18}"
Повышай климат на два градуса,ac_set,"{""delta"": 2}"
"Отключи климат-контроль, пожалуйста",ac_off,
Включи обдув лобового стекла,ac_mode_set,"{""mode"": ""лобовой""}"
Уменьши скорость вентилятора на одну ступень,ac_fan_set,"{""delta"": 1}"
Включи обогрев водительского сиденья на три,seat_heater_set,"{""seat"": ""водительское"", ""level"": 3}"
Погаси обогрев переднего пассажира,seat_heater_set,"{""seat"": ""передний пассажир"", ""state"": ""off""}"
Подогрей заднее левое сиденье на полную,seat_heater_set,"{""seat"": ""заднее левое"", ""level"": ""max""}"
Охлади моё сиденье на уровень два,seat_vent_set,"{""seat"": ""водительское"", ""level"": 2}"
Выключи вентиляцию сиденья,seat_vent_set,"{""state"": ""off""}"
"Включи обдув стекол, пожалуйста",defrost_set,
Задний обогрев стекла включи,defrost_set,"{""side"": ""rear"", ""state"": ""on""}"
Открой люк на двадцать процентов,sunroof_set,"{""position"": ""20%""}"
Поверни люк в режим вентиляции,sunroof_set,"{""mode"": ""vent""}"
"Поставь плейлист для спокойной езды, без вокала и не слишком громко",play_music,"{""mood"": ""спокойное"", ""vocals"": ""no"", ""volume_hint"": ""не слишком громко""}"
Останови воспроизведение,stop_music,
Выключи трек,stop_music,
Пропусти композицию,next_track,
Предыдущая песня,previous_track,
Прибавь громкость,volume_change,"{""direction"": ""up""}"
Сделай потише на три деления,volume_change,"{""direction"": ""down"", ""delta"": 3}"
Опусти звук наполовину,volume_change,"{""level"": ""50%""}"
Установи громкость на двадцать,volume_set,"{""level"": 20}"
Громкость семьдесят процентов,volume_set,"{""level"": 70}"
Сделай беззвучным,volume_mute_set,
Переключись на Bluetooth,media_source_set,"{""source"": ""Bluetooth""}"
Включи USB,media_source_set,"{""source"": ""USB""}"
Повтор песни включи,media_repeat_set,"{""state"": ""on""}"
Радио на FM,radio_set,"{""band"": ""FM""}"
Переключи на AM,radio_set,"{""band"": ""AM""}"
Настрой на 101.2 FM,radio_set_station,"{""frequency"": ""101.2"", ""band"": ""FM""}"
Поставь Радио Рекорд,radio_set_station,"{""station"": ""Радио Рекорд""}"
Проклади маршрут домой,nav_start,"{""destination"": ""дом""}"
"Навигатор до ближайшей заправки, пожалуйста",nav_start,"{""destination"": ""ближайшая заправка""}"
"Поезжай на Петровскую улицу, дом 7",nav_start,"{""destination"": ""Петровская улица, 7""}"
Поставь звонок техподдержке,call_start,"{""contact"": ""техподдержка""}"
Выключи ближний свет,headlights_set,"{""type"": ""ближний"", ""state"": ""off""}"
Включи дальний,high_beam_set,"{""state"": ""on""}"
Включи дворники на среднюю скорость,wipers_set,"{""speed"": ""medium""}"
Останови дворники,wipers_set,"{""state"": ""off""}"
Подогрев руля включи,wheel_heater_set,"{""state"": ""on""}"
"Слушай, расскажи, какая сегодня будет погода по дороге в центр и стоит ли брать зонт?",chitchat,
Открой водительское окно,window_set,"{""side"": ""левое"", ""position"": ""open""}"
"Закрой все окна, пожалуйста",window_set,"{""side"": ""все"", ""position"": ""closed""}"
Опусти заднее правое наполовину,window_set,"{""side"": ""заднее правое"", ""position"": ""50%""}"
Подними пассажирское окно на четверть,window_set,"{""side"": ""пассажирское"", ""position"": ""25%""}"
Прикрой люк на пару сантиметров,sunroof_set,"{""position"": ""slightly_open""}"
Включи кондиционер,ac_set,"{""state"": ""on""}"
Отключи кондиционер,ac_off,
Сделай температуру двадцать два,ac_set,"{""temperature"": 22}"
Понизь на три градуса,ac_set,"{""temperature_change"": -3}"
Убавь скорость вентилятора,ac_fan_set,"{""action"": ""decrease""}"
Увеличь мощность вентилятора до четырёх,ac_fan_set,"{""level"": 4}"
Автоматический режим поставь,ac_mode_set,"{""mode"": ""auto""}"
Выключи обогрев сидений водителя,seat_heater_set,"{""seat"": ""водитель"", ""state"": ""off""}"
Подогрей задние сиденья на максимум,seat_heater_set,"{""seat"": ""задние"", ""level"": ""max""}"
Сделай обдув сидений на минимуме,seat_vent_set,"{""level"": ""low""}"
Активируй вентиляцию сиденья переднего пассажира,seat_vent_set,"{""seat"": ""передний пассажир"", ""state"": ""on""}"
Включи обдув стекла,defrost_set,"{""target"": ""лобовое"", ""state"": ""on""}"
Убери запотевание заднего стекла,defrost_set,"{""target"": ""заднее"", ""action"": ""defog""}"
Отключи антизапотевание,defrost_set,"{""state"": ""off""}"
Переключись на дальний свет,high_beam_set,"{""state"": ""on""}"
Отключи дальний,high_beam_set,"{""state"": ""off""}"
Протрите стекло дворниками,wipers_set,"{""action"": ""wipe""}"
Поставь дворники в режим дождь,rain_set,"{""mode"": ""rain""}"
Омыватель стекла — включи,wipers_set,"{""action"": ""wash""}"
Отключи подогрев руля,wheel_heater_set,"{""state"": ""off""}"
Стоп музыку,stop_music,
Громкость на семь,volume_set,"{""level"": 7}"
Переключи источник на радио,media_source_set,"{""source"": ""radio""}"
Включи повторы,media_repeat_set,"{""state"": ""on""}"
Рандомный порядок треков,media_shuffle_set,"{""state"": ""on""}"
Станция 103.5 FM,radio_set_station,"{""frequency"": ""103.5""}"
Поставь радио на джазовую волну,radio_set,"{""genre"": ""джаз""}"
Проклади до ближайшего заправки,nav_start,"{""destination"": ""ближайшая заправка""}"
"Подскажи, какая сейчас погода?",chitchat,
Поставь громче на максимум!,volume_set,"{""level"": ""max""}"
Убавь на половину,volume_change,"{""percent"": 50, ""action"": ""decrease""}"
Переключи на USB,media_source_set,"{""source"": ""USB""}"
"Перемешай треки, пожалуйста",media_shuffle_set,"{""state"": ""on""}"
Повтори этот альбом,media_repeat_set,"{""mode"": ""album""}"
Настрой радио на 89.1,radio_set_station,"{""frequency"": ""89.1""}"
Запусти плейлист спокойной музыки,play_music,"{""playlist"": ""спокойная музыка""}"
"Мне холодно, включи печку",ac_set,"{""mode"": ""heat""}"
Опусти левое переднее наполовину,window_set,"{""side"": ""левое переднее"", ""position_percent"": 50}"
Подними правое заднее окно полностью,window_set,"{""side"": ""правое заднее"", ""position_percent"": 100}"
Приоткрой люк для вентиляции,sunroof_set,"{""position"": ""vent""}"
Закрой панорамную крышу,sunroof_close,"{""target"": ""panoramic""}"
"Закрой люк, пожалуйста",sunroof_close,
Выключи кондиционер сейчас,ac_off,
Поставь температуру на двадцать три,ac_set,"{""temperature"": 23}"
Сделай потеплее на два градуса,ac_set,"{""delta"": 2}"
Охлади салон до 18 градусов,ac_set,"{""temperature"": 18}"
Включи рециркуляцию воздуха,ac_mode_set,"{""mode"": ""recirculation""}"
Переключи климат на экономичный режим,ac_mode_set,"{""mode"": ""eco""}"
Направь обдув в область ног,ac_mode_set,"{""mode"": ""feet""}"
Понизь скорость вентилятора на три шага,ac_fan_set,"{""delta"": -3}"
Вентилятор — вторая ступень,ac_fan_set,"{""level"": 2}"
Включи подогрев сиденья водителя,seat_heater_set,"{""seat"": ""водитель"", ""state"": ""on""}"
Сделай подогрев пассажира на максимум,seat_heater_set,"{""seat"": ""пассажир"", ""level"": 100}"
"Убавь подогрев задних сидений, пожалуйста",seat_heater_set,"{""seat"": ""задние"", ""action"": ""decrease""}"
Охлади сиденье водителя,seat_vent_set,"{""seat"": ""водитель"", ""state"": ""on""}"
Включи вентиляцию на задних сиденьях,seat_vent_set,"{""seat"": ""задние"", ""state"": ""on""}"
Выключи вентиляцию переднего пассажира,seat_vent_set,"{""seat"": ""передний пассажир"", ""state"": ""off""}"
Включи обогрев руля,wheel_heater_set,"{""state"": ""on""}"
Отключи тёплый руль,wheel_heater_set,"{""state"": ""off""}"
Включи обогрев заднего стекла,defrost_set,"{""target"": ""rear"", ""state"": ""on""}"
Выключи обогрев стекол,defrost_set,"{""state"": ""off""}"
Включи ближний свет фар,headlights_set,"{""mode"": ""low""}"
Выключи фары полностью,headlights_set,"{""mode"": ""off""}"
Переклю́чись на дальний свет,high_beam_set,"{""state"": ""on""}"
Автоматический дальний включи,high_beam_set,"{""mode"": ""auto""}"
Включи дворники,wipers_set,"{""state"": ""on""}"
Переведи дворники в интервальный режим,wipers_set,"{""mode"": ""intermittent""}"
Уменьши скорость дворников,wipers_set,"{""action"": ""decrease""}"
Включи режим дождя,rain_set,"{""state"": ""on""}"
Поставь плейлист утро,play_music,"{""playlist"": ""утро""}"
Вернись к предыдущей песне,previous_track,
"Тише, пожалуйста",volume_change,"{""direction"": ""down""}"
Сделай звук на восемь,volume_set,"{""level"": 8}"
Установи громкость пять из десяти,volume_set,"{""level"": 5}"
Отключи звук (mute),volume_mute_set,"{""mute"": true}"
Включи звук обратно,volume_mute_set,"{""mute"": false}"
Сделай Bluetooth источником аудио,media_source_set,"{""source"": ""bluetooth""}"
Включи повтор треков,media_repeat_set,"{""state"": ""on""}"
Выключи повтор,media_repeat_set,"{""state"": ""off""}"
Перемешай воспроизведение,media_shuffle_set,"{""state"": ""on""}"
Отключи перемешивание плейлиста,media_shuffle_set,"{""state"": ""off""}"
Настрой на частоту 101.2 FM,radio_set_station,"{""frequency"": 101.2, ""band"": ""FM""}"
Найди радиостанцию Наше радио,radio_set_station,"{""name"": ""Наше радио""}"
