phrase,intent,parameters
Закрой окно у водителя,window_set,"{""action"": ""close"", ""window"": ""driver""}"
Открой пассажирское окно на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 30}"
Приоткрой все окна,window_set,"{""action"": ""open"", ""window"": ""all""}"
Давай закроем заднее окно,window_set,"{""action"": ""close"", ""window"": ""rear""}"
Открой окошко на половину,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 50}"
"Включи кондиционер, сделай 22 градуса",ac_set,"{""state"": ""on"", ""temperature"": 22}"
"Пожалуйста, выключи климат-контроль",ac_off,
Поставь обдув на авто,ac_mode_set,"{""enabled"": true}"
Увеличь скорость вентилятора до 75,ac_fan_set,"{""level"": 75, ""speed"": ""medium""}"
Включи обогрев сиденья водителя на 50 процентов,seat_heater_set,"{""seat"": ""driver"", ""level"": 50}"
Выключи обогрев сиденья пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Закрой люк полностью,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Открой люк на 20 процентов,sunroof_set,"{""action"": ""open"", ""percent"": 20}"
Закрой люк,sunroof_close,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Как доехать до музея?,nav_start,"{""destination"": ""музей""}"
Отмени навигацию,nav_cancel,
Позвони Алексею,call_start,"{""contact"": ""Алексей""}"
Ответь на звонок,call_answer,
Заверши разговор,call_hangup,
Сделай погромче на 10,volume_change,"{""delta"": 10}"
Уменьши громкость на 5,volume_change,"{""delta"": -5}"
Выставь громкость на 75 процентов,volume_set,"{""level"": 75}"
Поставь музыку на паузу,media_pause,
Переключи на следующий трек,next_track,
Включи радио на частоте 92.5,radio_set,"{""frequency"": ""92.5""}"
Слушай музыку через Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Сделай громче,volume_change,"{""direction"": ""up""}"
"Привет, как дела?",chitchat,
Какой сегодня день?,chitchat,
"Погода отличная, да?",chitchat,
Открой окно у водителя на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 20}"
Закрой заднее пассажирское окно,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой все окна,window_set,"{""action"": ""open"", ""window"": ""all""}"
"Пожалуйста, закрой окно спереди",window_set,"{""action"": ""close"", ""window"": ""driver""}"
Сделай температуру 22 градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
"Включи кондиционер, температура 18",ac_set,"{""state"": ""on"", ""temperature"": 18}"
Отключи кондиционер,ac_off,
Поставь кондиционер на рециркуляцию,ac_mode_set,"{""enabled"": true}"
Увеличь скорость вентилятора на максимум,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Уменьши скорость вентилятора до нуля,ac_fan_set,"{""level"": 0, ""speed"": ""off""}"
Включи обогрев сиденья водителя на 75 процентов,seat_heater_set,"{""seat"": ""driver"", ""level"": 75}"
Сделай обогрев сиденья пассажира на полную мощность,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Включи обдув заднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Закрой люк,sunroof_close,
Открой люк на 50 процентов,sunroof_set,"{""action"": ""open"", ""percent"": 50}"
Поставь радио на частоту 90.5,radio_set,"{""frequency"": ""90.5""}"
Сделай громче на десять,volume_change,"{""delta"": 10}"
Уменьши громкость на 20 процентов,volume_change,"{""direction"": ""down""}"
Выключи музыку,stop_music,
Переключи на следующий трек,next_track,
Как доехать до Ленина?,nav_start,"{""destination"": ""Ленина""}"
"Навигатор, отменить маршрут",nav_cancel,
Позвони Свете,call_start,"{""contact"": ""Света""}"
Ответь на звонок,call_answer,
Завершить звонок,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Сделай дворники на авто,wipers_set,"{""speed"": ""auto""}"
Включи режим дождя,rain_set,"{""mode"": ""auto""}"
"Привет, как дела?",chitchat,
Как поживаешь?,chitchat,
"Пожалуйста, открой окно у водителя",window_set,"{""action"": ""open"", ""window"": ""driver""}"
Приоткрой стекло пассажирского окна,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 50}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
Сделай кондиционер на 20 градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Выключи климат-контроль,ac_off,
Переключи на обдув,ac_mode_set,"{""enabled"": true}"
Включи вентилятор на максимуме,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи обогрев сиденья для пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 75}"
Закрой люк на 50 процентов,sunroof_set,"{""action"": ""close"", ""percent"": 50}"
Сделай громче на десять,volume_change,"{""delta"": 10}"
Поставь громкость на 30,volume_set,"{""level"": 30}"
"Пожалуйста, выключи звук",volume_mute_set,"{""state"": ""on""}"
Включи Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Переключи на следующую песню,next_track,
Останови музыку,stop_music,
"Пожалуйста, позвони Олегу",call_start,"{""contact"": ""Олег""}"
Как доехать до Аэропорта?,nav_start,"{""destination"": ""Аэропорт""}"
Включи фары,headlights_set,"{""state"": ""on""}"
Как дела?,chitchat,
Сделай потише на пять,volume_change,"{""delta"": -5}"
Выключи обогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Закрой окно у водителя,window_set,"{""action"": ""close"", ""window"": ""driver""}"
Открой все окна на восемьдесят процентов,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 80}"
"Пожалуйста, закрой пассажирское стекло",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой окно сзади на пятьдесят процентов,window_set,"{""action"": ""set"", ""window"": ""rear"", ""percent"": 50}"
Открой окно полностью,window_set,"{""action"": ""open"", ""window"": ""all""}"
Включи кондиционер на 22 градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Поставь кондиционер на 20,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Выкл кондиционер,ac_set,"{""state"": ""off"", ""temperature"": 0}"
Выключи кондиционер,ac_off,
Увеличь температуру до 25 градусов,ac_set,"{""state"": ""on"", ""temperature"": 25}"
Поставь рециркуляцию включенной,ac_mode_set,"{""enabled"": true}"
Выключи обогрев сидений,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Включи обогрев сиденья пассажира на 100%,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Установи обогрев сиденья водителя на 50 процентов,seat_heater_set,"{""seat"": ""driver"", ""level"": 50}"
Включи вентилятор на максимуме,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Выстави скорость вентилятора на среднюю,ac_fan_set,"{""level"": 50, ""speed"": ""medium""}"
Включи подогрев сидений,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Закрой люк,sunroof_close,
Открой люк на тридцать процентов,sunroof_set,"{""action"": ""open"", ""percent"": 30}"
Закрой люк полностью,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Включи радио на частоте 95.5,radio_set,"{""frequency"": ""95.5""}"
Переключи на следующую песню,next_track,
Уменьши громкость на десять,volume_change,"{""delta"": -10}"
Сделай погромче на пять,volume_change,"{""delta"": 5}"
Поставь громкость на 50 процентов,volume_set,"{""level"": 50}"
"Пожалуйста, позвони Анне",call_start,"{""contact"": ""Анна""}"
Ответь на звонок,call_answer,
Заверши звонок,call_hangup,
Как добраться до музея?,nav_start,"{""destination"": ""музей""}"
Отмени навигацию,nav_cancel,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Установи скорость дворников на авто,wipers_set,"{""speed"": ""auto""}"
Включи режим дождя,rain_set,"{""mode"": ""auto""}"
"Привет, как дела?",chitchat,
Что нового?,chitchat,
Как ты?,chitchat,
Открой окно водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Приоткрой стекло пассажирского окна,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Сделай кондиционер на двадцать два градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Поставь обдув на максимум,ac_mode_set,"{""enabled"": true}"
Сделай потоки воздуха меньше,ac_fan_set,"{""level"": 30, ""speed"": ""low""}"
Включи обогрев сиденья пассажира на восемьдесят процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 80}"
Выключи обогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Включи обогрев сиденья,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Поставь кондиционер на 18 градусов,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Сделай громче на десять,volume_change,"{""delta"": 10}"
Уменьши громкость на пятнадцать процентов,volume_change,"{""delta"": -15}"
"Сделай потише, пожалуйста",volume_change,"{""direction"": ""down""}"
Включи музыку,play_music,
Останови воспроизведение музыки,stop_music,
Переключи на следующий трек,next_track,
Поставь радио на частоту 98.3,radio_set,"{""frequency"": ""98.3""}"
Включи радио,media_source_set,"{""source"": ""radio""}"
Как доехать до центра города?,nav_start,"{""destination"": ""центр города""}"
Отмени навигацию,nav_cancel,
Позвони Сергею,call_start,"{""contact"": ""Сергей""}"
Ответь на звонок,call_answer,
Сбрось звонок,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Включи дворники на высокой скорости,wipers_set,"{""speed"": ""high""}"
Сделай свет ближний,headlights_set,"{""state"": ""off""}"
Как дела?,chitchat,
Что нового?,chitchat,
"Душно, открой окна",window_set,"{""action"": ""open"", ""window"": ""all""}"
Сделай погромче на пять,volume_change,"{""delta"": 5}"
"Пожалуйста, закрой окно у водителя",window_set,"{""action"": ""close"", ""window"": ""driver""}"
Открой все окна на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 30}"
Приоткрой пассажирское окно,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Закрой стекло за водителем на сто процентов,window_set,"{""action"": ""close"", ""window"": ""all"", ""percent"": 100}"
"Мне жарко, открой окно",window_set,"{""action"": ""open"", ""window"": ""driver""}"
Поставь кондиционер на двадцать два градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Включи климат на 18 градусов,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Выключи кондиционер,ac_off,
Установи режим рециркуляции,ac_mode_set,"{""enabled"": true}"
Включи обогрев сидений для пассажира на 70,seat_heater_set,"{""seat"": ""passenger"", ""level"": 70}"
Обогрей сиденье водителя на полную мощность,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Поставь вентиляцию сиденья пассажира на 50,seat_vent_set,"{""seat"": ""passenger"", ""level"": 50}"
Включи обдув лобового стекла,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Закрой люк на 80 процентов,sunroof_set,"{""action"": ""close"", ""percent"": 80}"
"Пожалуйста, включи радио на 92.5",radio_set,"{""frequency"": ""92.5""}"
Включи следующую композицию,next_track,
Сделай громче на десять,volume_change,"{""delta"": 10}"
Уменьши громкость на 20%,volume_change,"{""delta"": -20}"
Выключи звук,volume_mute_set,"{""state"": ""on""}"
Позвони маме,call_start,"{""contact"": ""мама""}"
Как доехать до Пушкинской площади?,nav_start,"{""destination"": ""Пушкинская площадь""}"
Отмените навигацию,nav_cancel,
Включи фары,headlights_set,"{""state"": ""on""}"
"Пожалуйста, отключи дальний свет",high_beam_set,"{""state"": ""off""}"
Поставь дворники на высокую скорость,wipers_set,"{""speed"": ""high""}"
Увеличь скорость дворников,wipers_set,"{""speed"": ""medium""}"
Сделай дождь авто,rain_set,"{""mode"": ""auto""}"
Как дела?,chitchat,
"Привет, как ты?",chitchat,
Открой окно у водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Пожалуйста, закрой пассажирское окно",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Поставь кондиционер на двадцать один градус,ac_set,"{""state"": ""on"", ""temperature"": 21}"
Открой все окна,window_set,"{""action"": ""open"", ""window"": ""all""}"
Включи кондиционер,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Поставь уровень громкости на 50,volume_set,"{""level"": 50}"
Сделай громче на десять,volume_change,"{""delta"": 10}"
"Пожалуйста, сделай потише на восемь",volume_change,"{""delta"": -8}"
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Включи обогрев сиденья пассажира на сто процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Как мне доехать до ближайшего кафе?,nav_start,"{""destination"": ""ближайшее кафе""}"
"Позвони, пожалуйста, Марии",call_start,"{""contact"": ""Мария""}"
Давай переключим на радио,media_source_set,"{""source"": ""radio""}"
"Следующий трек, пожалуйста",next_track,
Установи радиостанцию на 98.6,radio_set,"{""frequency"": ""98.6""}"
Включи фары,headlights_set,"{""state"": ""on""}"
Закрой люк на тридцать процентов,sunroof_set,"{""action"": ""close"", ""percent"": 30}"
Включи обогрев руля,wheel_heater_set,"{""state"": ""on""}"
Как у тебя дела?,chitchat,
Открой стекло на половину,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 50}"
Приоткрой окно у водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Открой окно пассажира полностью,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Сделай кондиционер на 20 градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Выключи кондиционер,ac_off,
Поставь режим рециркуляции на включено,ac_mode_set,"{""enabled"": true}"
Включи обогрев сидения пассажира на 50%,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Выключи обогрев сидения водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Как отключить обогрев сидений?,chitchat,
Включи музыку,play_music,
Останови музыку,stop_music,
Сделай потише на десять,volume_change,"{""delta"": -10}"
Увеличь громкость на 15%,volume_change,"{""delta"": 15}"
Поставь радио на частоту 95.5,radio_set,"{""frequency"": ""95.5""}"
Настрой радиостанцию Маяк,radio_set_station,"{""station"": ""Маяк""}"
Как доехать до ближайшего магазина?,nav_start,"{""destination"": ""ближайший магазин""}"
Отмени маршрут,nav_cancel,
Позвони мне на мобильный,call_start,"{""contact"": ""мобильный""}"
Ответь на звонок,call_answer,
Закрой шторку солнца на половину,sunroof_set,"{""action"": ""set"", ""percent"": 50}"
Открой шторку полностью,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Включи дворники на авто,wipers_set,"{""speed"": ""auto""}"
Установи дальний свет,high_beam_set,"{""state"": ""on""}"
Сделай авто подогрев руля,wheel_heater_set,"{""state"": ""on""}"
Как дела?,chitchat,
Сделай громче на пять,volume_change,"{""delta"": 5}"
Поставь Bluetooth как источник,media_source_set,"{""source"": ""bluetooth""}"
Поставь уровень громкости на 30%,volume_set,"{""level"": 30}"
Сделай обогрев сидений для водителя на 100%,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Настрой музыкальный плейлист,media_repeat_set,"{""mode"": ""all""}"
Включи дворники на средней скорости,wipers_set,"{""speed"": ""medium""}"
Как добраться до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Выключи свет,headlights_set,"{""state"": ""off""}"
Приоткрой окно водителя на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 20}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Открой пассажирское окно полностью,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Сделай кондиционер холоднее на 3 градуса,ac_set,"{""state"": ""on"", ""temperature"": 17}"
Выключи кондиционер,ac_off,
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Сделай обдув на максимуме,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи обогрев сиденья пассажира на 50 процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Поставь вентилятор для сиденья водителя на 80,seat_vent_set,"{""seat"": ""driver"", ""level"": 80}"
Включи задний обогрев,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
