phrase,intent,parameters
Открой водительское окно наполовину,window_set,"{""window"": ""driver"", ""position"": ""50%""}"
Закрой правое заднее стекло,window_set,"{""window"": ""rear_right"", ""position"": ""closed""}"
Подними стекло пассажира,window_set,"{""window"": ""passenger"", ""position"": ""up""}"
Опусти все окна,window_set,"{""window"": ""all"", ""position"": ""down""}"
"Приоткрой стекла чуть-чуть, свежего воздуха хватит",window_set,"{""window"": ""multiple"", ""position"": ""slightly_open""}"
Включи кондиционер,ac_set,
Выключи климат-контроль пожалуйста,ac_off,
Поставь температуру на двадцать два градуса,ac_set,"{""temperature"": 22, ""unit"": ""C""}"
"Мне жарко, сделай кондиционер на 18",ac_set,"{""temperature"": 18, ""unit"": ""C""}"
Переключи режим на рециркуляцию воздуха,ac_mode_set,"{""mode"": ""recirculation""}"
"Пожалуйста, режим обогрева заднего стекла",ac_mode_set,"{""mode"": ""rear_defrost""}"
Увеличь скорость вентилятора на три шага,ac_fan_set,"{""delta"": 3}"
Уменьши вентилятор до минимального уровня,ac_fan_set,"{""level"": ""low""}"
Выключи кондиционер и обогрев салона,ac_off,
Включи подогрев водительского сиденья на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": ""high""}"
Холодно на спине — включи вентиляцию кресла пассажира на слабый,seat_vent_set,"{""seat"": ""passenger"", ""level"": ""low""}"
Поставь подогрев задних сидений на средний уровень,seat_heater_set,"{""seat"": ""rear"", ""level"": ""medium""}"
Вентиляция кресла водителя выключена — включи её,seat_vent_set,"{""seat"": ""driver"", ""state"": ""on""}"
Разморозь лобовое стекло сейчас,defrost_set,"{""target"": ""front_windshield"", ""state"": ""on""}"
Включи обдув заднего стекла,defrost_set,"{""target"": ""rear_window"", ""state"": ""on""}"
Открой люк на крыше полностью,sunroof_set,"{""position"": ""open"", ""amount"": ""100%""}"
Шторку в крыше закрой,sunroof_close,"{""component"": ""shade"", ""state"": ""closed""}"
Приоткрой панорамный люк на пару сантиметров,sunroof_set,"{""action"": ""tilt"", ""amount"": ""few_cm""}"
"Поставь на паузу трек, пожалуйста",media_pause,
Следующий трек,next_track,
Предыдущая композиция,previous_track,
Добавь громкость немного побольше,volume_change,"{""direction"": ""up"", ""amount"": ""small""}"
Уменьши звук в салоне на семь делений,volume_change,"{""direction"": ""down"", ""amount"": 7}"
Громкость на сорок процентов,volume_set,"{""level"": ""40%""}"
Выключи звук полностью,volume_mute_set,"{""state"": ""mute""}"
Переключись на USB,media_source_set,"{""source"": ""USB""}"
Включи повтор альбома,media_repeat_set,"{""mode"": ""album""}"
"Перемешай плейлист, пожалуйста",media_shuffle_set,"{""state"": ""on""}"
Включи радиостанцию FM,radio_set,"{""band"": ""FM""}"
Настрой радио на 103.5,radio_set_station,"{""frequency"": ""103.5""}"
Найди станцию джаза и включи её,radio_set_station,"{""genre"": ""jazz""}"
