phrase,intent,parameters
Поставь кондиционер на 25,ac_set,"{""state"": ""on"", ""temperature"": 25}"
Включи обогрев сиденья водителя на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Приоткрой люк на 50%,sunroof_set,"{""action"": ""open"", ""percent"": 50}"
Уменьши громкость на 5,volume_change,"{""delta"": -5}"
Сделай громкость на 75 процентов,volume_set,"{""level"": 75}"
Включи радио на частоте 101.2,radio_set,"{""frequency"": ""101.2""}"
"Перезвони мне, пожалуйста",call_start,"{""contact"": ""я""}"
Сделай свет фар авто,headlights_set,"{""state"": ""auto""}"
"Пожалуйста, закрой пассажирское окно",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Сделай обдув сильнее,ac_fan_set,"{""level"": 75, ""speed"": ""high""}"
Сделай обогрев сиденья пассажира на 50%,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Включи стеклоочистители на авто,wipers_set,"{""speed"": ""auto""}"
Сделай дворники на медленной скорости,wipers_set,"{""speed"": ""low""}"
Включи радио на частоте 92.5,radio_set,"{""frequency"": ""92.5""}"
Открой окно у водителя полностью,window_set,"{""action"": ""open"", ""window"": ""driver""}"
Сделай обдув на средний уровень,ac_fan_set,"{""level"": 50, ""speed"": ""medium""}"
Включи обогрев сиденья пассажира на тридцать процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 30}"
Уменьши громкость на восемь процентов,volume_change,"{""delta"": -8}"
Поставь уровень громкости на восемьдесят,volume_set,"{""level"": 80}"
Поставь радио на частоту девяносто два,radio_set,"{""frequency"": ""92.0""}"
"Скажи мне, как доехать до ближайшей заправки?",nav_start,"{""destination"": ""ближайшая заправка""}"
Позвони Ивану,call_start,"{""contact"": ""Иван""}"
Закрой солнцезащитный козырек,sunroof_set,"{""action"": ""close""}"
Приоткрой стекло пассажирского окна,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 25}"
Открой все окна на половину,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 50}"
Сделай обдув на среднем уровне,ac_fan_set,"{""level"": 60, ""speed"": ""medium""}"
Включи обогрев сиденья пассажира на 75,seat_heater_set,"{""seat"": ""passenger"", ""level"": 75}"
Включи вентиляцию сиденья у водителя на максимум,seat_vent_set,"{""seat"": ""driver"", ""level"": 100}"
Включи обогрев заднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Выключи обогрев переднего стекла,defrost_set,"{""state"": ""off"", ""target"": ""front""}"
Поставь на радио частоту 95.0,radio_set,"{""frequency"": ""95.0""}"
Как доехать до музея?,nav_start,"{""destination"": ""музей""}"
Позвони мне на мобильный,call_start,"{""contact"": ""мобильный""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Открой окно у водителя на пятьдесят процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 50}"
Увеличь скорость вентилятора до 80,ac_fan_set,"{""level"": 80, ""speed"": ""high""}"
Включи обогрев сиденья пассажира на максимум,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Поставь вентилятор для водителя на 50,seat_vent_set,"{""seat"": ""driver"", ""level"": 50}"
Включи подогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 75}"
Приоткрой люк,sunroof_set,"{""action"": ""open"", ""percent"": 10}"
