phrase,intent,parameters
Поехали к дому родителей,nav_start,"{""destination"": ""дом родителей""}"
Построй маршрут к центральной площади,nav_start,"{""destination"": ""центральная площадь""}"
Отмени навигацию,nav_cancel,
Прекрати маршрут,nav_cancel,
"Отмени прокладку пути, пожалуйста",nav_cancel,
Позвони маме,call_start,"{""contact"": ""мама""}"
Набери 84951234567,call_start,"{""contact"": ""84951234567""}"
Сделай звонок Саше,call_start,"{""contact"": ""Саша""}"
Ответь на звонок,call_answer,
Алло,call_answer,
Бери трубку,call_answer,
"Прими вызов, пожалуйста",call_answer,
Подними,call_answer,
Повесь трубку,call_hangup,
Закончи звонок,call_hangup,
Сбрось вызов,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Вырубай фары,headlights_set,"{""state"": ""off""}"
Фары в авто в автомате поставь,headlights_set,"{""state"": ""auto""}"
Дальний свет врубай,high_beam_set,"{""state"": ""on""}"
Выключи дальний,high_beam_set,"{""state"": ""off""}"
Включайте ближний,high_beam_set,"{""state"": ""off""}"
Дворники на автомат,wipers_set,"{""speed"": ""auto""}"
Поставь дворники на средний режим,wipers_set,"{""speed"": ""medium""}"
Выключи дворники,wipers_set,"{""speed"": ""off""}"
Режим дождя автомат включи,rain_set,"{""mode"": ""auto""}"
Переключись на ручной режим дождя,rain_set,"{""mode"": ""manual""}"
Подогрев руля включи,wheel_heater_set,"{""state"": ""on""}"
Отключи нагрев колеса,wheel_heater_set,"{""state"": ""off""}"
"Привет, как дела?",chitchat,
Спасибо,chitchat,
Кто хороший помощник?,chitchat,
"Жарко тут, сделай пожалуйста прохладнее",ac_set,"{""state"": ""on"", ""temperature"": 20}"
"Холодно, убавь на пару градусов",ac_set,"{""state"": ""on"", ""temperature"": 28}"
"Сделай потише музыку, пожалуйста",volume_change,"{""delta"": -5}"
Громче!,volume_change,"{""delta"": 8}"
Накинь к звуку десять,volume_change,"{""delta"": 10}"
Понизь громкость до семи,volume_set,"{""level"": 7}"
"Включи shuffle, пожалуйста",media_shuffle_set,
Выключи shuffle,media_shuffle_set,
Слушай новости на 99.5,radio_set,"{""frequency"": ""99.5""}"
Найди кофейню и проложи маршрут,nav_start,"{""destination"": ""кофейня""}"
Отмени маршрут к работе,nav_cancel,
Позвони в службу техподдержки 88001234567,call_start,"{""contact"": ""88001234567""}"
Набери офис компании,call_start,"{""contact"": ""офис компании""}"
"Беру, отвечаю",call_answer,
"Давай, ответь",call_answer,
Закончи разговор,call_hangup,
"Пожалуйста, включи подогрев заднего стекла",defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Останови подогрев заднего окна,defrost_set,"{""state"": ""off"", ""target"": ""rear""}"
"Блин, очень шумно — убавь громкость на двенадцать",volume_change,"{""delta"": -12}"
Можно потише музыку на 3?,volume_change,"{""delta"": -3}"
Сделай громче на пятнадцать,volume_change,"{""delta"": 15}"
Уменьши звук до тридцати,volume_set,"{""level"": 30}"
"Включи радио, переключись на Авторадио",radio_set_station,"{""station"": ""Авторадио""}"
Слушай Jazz FM,radio_set_station,"{""station"": ""Jazz FM""}"
Поставь обдув на низкую скорость,ac_fan_set,"{""level"": 20, ""speed"": ""low""}"
"Дуй посильнее, 75 процентов",ac_fan_set,"{""level"": 75, ""speed"": ""high""}"
Переключи источник на Bluetooth смартфона,media_source_set,"{""source"": ""bluetooth""}"
"Пожалуйста, включи USB музыку",media_source_set,"{""source"": ""usb""}"
Поставь громкость на ноль,volume_set,"{""level"": 0}"
Сделай звук на 92%,volume_set,"{""level"": 92}"
Подключи AUX вход,media_source_set,"{""source"": ""aux""}"
Повтори мне последний трек,media_repeat_set,"{""mode"": ""one""}"
Открой окно водителя наполовину,window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 50}"
Приоткрой пассажирское окно чуть-чуть,window_set,"{""action"": ""open"", ""window"": ""passenger"", ""percent"": 10}"
Опусти все окна полностью,window_set,"{""action"": ""open"", ""window"": ""all"", ""percent"": 100}"
Закрой окно с пассажирской стороны,window_set,"{""action"": ""close"", ""window"": ""passenger"", ""percent"": 0}"
Прикрой окно водителя на 30%,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Захлопни все окна,window_set,"{""action"": ""close"", ""window"": ""all"", ""percent"": 0}"
Отодвинь пассажирское окно на половину,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 50}"
"Распахни окно водителя полностью, пожалуйста",window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 100}"
Немного приоткрой левое окно,window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 15}"
Подними водительское окно (закрой),window_set,"{""action"": ""close"", ""window"": ""driver"", ""percent"": 0}"
Включи кондиционер на 22 градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Запусти климат и поставь 19,ac_set,"{""state"": ""on"", ""temperature"": 19}"
Активируй кондей — 24°,ac_set,"{""state"": ""on"", ""temperature"": 24}"
Врубай охлаждение на 18 градусов,ac_set,"{""state"": ""on"", ""temperature"": 18}"
"Задействуй климат-контроль, сделай 21",ac_set,"{""state"": ""on"", ""temperature"": 21}"
Выключи кондиционер,ac_off,
Отруби климат,ac_off,
"Кондей отключи, пожалуйста",ac_off,
Останови климат-контроль,ac_off,
Деактивируй систему кондиционирования,ac_off,
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
Выруби рециркуляцию воздуха,ac_mode_set,"{""enabled"": false}"
Активируй внутренний обдув,ac_mode_set,"{""enabled"": true}"
"Отключи рециркуляцию, пожалуйста",ac_mode_set,"{""enabled"": false}"
Поставь вентилятор на средний уровень 40,ac_fan_set,"{""level"": 40, ""speed"": ""medium""}"
Увеличь силу обдува до 75,ac_fan_set,"{""level"": 75, ""speed"": ""high""}"
Понизь вентилятор до 15,ac_fan_set,"{""level"": 15, ""speed"": ""low""}"
Включи обдув на максимум,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Поставь вентиляцию на ноль,ac_fan_set,"{""level"": 0, ""speed"": ""low""}"
Подогрей водительское сиденье на 3 деления,seat_heater_set,"{""seat"": ""driver"", ""level"": 33}"
Включи подогрев пассажира на максимум,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Слегка прогрей кресло водителя — маленький уровень,seat_heater_set,"{""seat"": ""driver"", ""level"": 10}"
Установи подогрев пассажира на 68,seat_heater_set,"{""seat"": ""passenger"", ""level"": 68}"
Выключи обогрев сидений,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Охлади кресло водителя вентилятором на 25,seat_vent_set,"{""seat"": ""driver"", ""level"": 25}"
"Включи вентиляцию пассажира пониже, на 5",seat_vent_set,"{""seat"": ""passenger"", ""level"": 5}"
Максимально провентилируй водительское сиденье,seat_vent_set,"{""seat"": ""driver"", ""level"": 100}"
Убавь вентиляцию пассажира до нуля,seat_vent_set,"{""seat"": ""passenger"", ""level"": 0}"
Поставь вентиляцию водителя на 47,seat_vent_set,"{""seat"": ""driver"", ""level"": 47}"
Включи обдув лобового стекла,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Выключи обогрев заднего стекла,defrost_set,"{""state"": ""off"", ""target"": ""rear""}"
Активируй дефрост фронтально,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Прекрати работу обогрева заднего стекла,defrost_set,"{""state"": ""off"", ""target"": ""rear""}"
"Включи обдув на лобовое, пожалуйста",defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Сдвинь люк на 20%,sunroof_set,"{""action"": ""open"", ""percent"": 20}"
Закрой панорамный люк,sunroof_set,"{""action"": ""close"", ""percent"": 0}"
Открой люк полностью,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Приоткрой люк слегка,sunroof_set,"{""action"": ""open"", ""percent"": 10}"
Потом закроешь люк? Закрой сейчас,sunroof_close,
Пусти музыку,play_music,
Врубай треки,play_music,
Стоп музыка,stop_music,
Поставь паузу,media_pause,
Следующая песня пожалуйста,next_track,
"Эй, назад трек",previous_track,
Громче на 5,volume_change,"{""delta"": 5}"
Убавь звук на три пункта,volume_change,"{""delta"": -3}"
Добавь пятёрку к громкости,volume_change,"{""delta"": 5}"
Сделай тише,volume_change,"{""direction"": ""down""}"
Громче,volume_change,"{""direction"": ""up""}"
Установи громкость на 12,volume_set,"{""level"": 12}"
Поставь звук 85 процентов,volume_set,"{""level"": 85}"
Громкость 33,volume_set,"{""level"": 33}"
Выключи звук полностью,volume_mute_set,"{""state"": ""on""}"
Отмени беззвучный режим,volume_mute_set,"{""state"": ""off""}"
Переключи на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Включи радио,media_source_set,"{""source"": ""radio""}"
Подключи USB-плеер,media_source_set,"{""source"": ""usb""}"
Поставь повтор на одну песню,media_repeat_set,"{""mode"": ""one""}"
Повтор выключи,media_repeat_set,"{""mode"": ""off""}"
Перемешай плейлист,media_shuffle_set,
Поставь частоту 99.7 FM,radio_set,"{""frequency"": ""99.7""}"
Переключись на станцию Ретро FM,radio_set_station,"{""station"": ""Ретро FM""}"
Поехали к ближайшей заправке,nav_start,"{""destination"": ""ближайшая заправка""}"
Проложи маршрут к дому,nav_start,"{""destination"": ""дом""}"
Отмени навигацию,nav_cancel,
Позвони Ольге,call_start,"{""contact"": ""Ольга""}"
Набери номер +79161234567,call_start,"{""contact"": ""+79161234567""}"
Возьми вызов,call_answer,
Подними трубку,call_answer,
Отключи звонок,call_hangup,
"Сбрось вызов, пожалуйста",call_hangup,
Включи фары на авто,headlights_set,"{""state"": ""on""}"
Выруби фары,headlights_set,"{""state"": ""off""}"
Автофары на авто включить в авторежиме,headlights_set,"{""state"": ""auto""}"
Включи дальний свет,high_beam_set,"{""state"": ""on""}"
Выключи дальний,high_beam_set,"{""state"": ""off""}"
Поставь дворники на авто-режим,wipers_set,"{""speed"": ""auto""}"
Дворники медленно,wipers_set,"{""speed"": ""low""}"
Дворники на быстрый режим,wipers_set,"{""speed"": ""high""}"
Режим дождя включи авто,rain_set,"{""mode"": ""auto""}"
Переключи дождевой режим на ручной,rain_set,"{""mode"": ""manual""}"
Включи подогрев руля,wheel_heater_set,"{""state"": ""on""}"
Выключи обогрев колеса,wheel_heater_set,"{""state"": ""off""}"
Привет,chitchat,
Как дела?,chitchat,
Спасибо,chitchat,
"Жарко, опусти окно пожалуйста",window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 40}"
"Холодно здесь, включи обогрев",ac_set,"{""state"": ""on"", ""temperature"": 26}"
Можно потише музыку?,volume_change,"{""delta"": -5}"
А можно на пять громче?,volume_change,"{""delta"": 5}"
Сделай радио тише на 7,volume_change,"{""delta"": -7}"
Переключи на AUX,media_source_set,"{""source"": ""aux""}"
Плейлист в случайном порядке,media_shuffle_set,
Сколько время?,chitchat,
Подключи телефон по Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Поехали в центр города,nav_start,"{""destination"": ""центр города""}"
Отмени маршрут до центра,nav_cancel,
"Бери трубку, там важный звонок",call_answer,
Не отвечай на этот звонок,call_hangup,
"Поставь кондиционер на 28, мне жарко",ac_set,"{""state"": ""on"", ""temperature"": 28}"
Снизь температуру до 16,ac_set,"{""state"": ""on"", ""temperature"": 16}"
Врубай музыку погромче,play_music,
Сделай громче на десять,volume_change,"{""delta"": 10}"
Понизь звук до 3,volume_set,"{""level"": 3}"
Заморозь стекла — включи обдув заднего окна,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
"Убери рециркуляцию, душно",ac_mode_set,"{""enabled"": false}"
"Включи рециркуляцию, запах снаружи",ac_mode_set,"{""enabled"": true}"
Поменяй песню,next_track,
Верни предыдущую композицию,previous_track,
Звук вкл/выкл?,volume_mute_set,"{""state"": ""off""}"
Могу я ответить?,call_answer,
"Да, алло",call_answer,
Поговори с Димой,call_start,"{""contact"": ""Дима""}"
"Позвонить маме, пожалуйста",call_start,"{""contact"": ""мама""}"
Поставь радио на 87.5,radio_set,"{""frequency"": ""87.5""}"
Переключи на Next FM,radio_set_station,"{""station"": ""Next FM""}"
Быстрее дворники — дождь сильный,wipers_set,"{""speed"": ""high""}"
Дворники остановить,wipers_set,"{""speed"": ""off""}"
Врубай ближний свет,headlights_set,"{""state"": ""on""}"
Отруби дальний,high_beam_set,"{""state"": ""off""}"
"Подогрей руль, пожалуйста",wheel_heater_set,"{""state"": ""on""}"
Выключи подогрев руля,wheel_heater_set,"{""state"": ""off""}"
Немного открой люк на 5%,sunroof_set,"{""action"": ""open"", ""percent"": 5}"
Закрой люк полностью сейчас,sunroof_set,"{""action"": ""close"", ""percent"": 0}"
Сделай 22 градуса и рециркуляцию включи,ac_set,"{""state"": ""on"", ""temperature"": 22}"
"Температуру на 23, пожалуйста",ac_set,"{""state"": ""on"", ""temperature"": 23}"
"Пожалуйста, убавь громкость на 12",volume_change,"{""delta"": -12}"
"Прибавь звук на семь, не сильно",volume_change,"{""delta"": 7}"
Звук выключить на мгновение,media_pause,
Пауза,media_pause,
Нам нужно к ближайшему кафе,nav_start,"{""destination"": ""ближайшее кафе""}"
Стоп навигация,nav_cancel,
"Эй, кто звонит?",chitchat,
"Можно музыку потише, пожалуйста?",volume_change,"{""delta"": -5}"
Громкость плюс три,volume_change,"{""delta"": 3}"
Поставь повтор всех треков,media_repeat_set,"{""mode"": ""all""}"
"Выключай кондиционер, стало прохладно",ac_off,
Открой окно водителя на половину,window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 50}"
Приоткрой пассажирское окошко на 20%,window_set,"{""action"": ""open"", ""window"": ""passenger"", ""percent"": 20}"
Опусти все окна полностью,window_set,"{""action"": ""open"", ""window"": ""all"", ""percent"": 100}"
Задвинь окно водителя на 10,window_set,"{""action"": ""close"", ""window"": ""driver"", ""percent"": 10}"
Захлопни пассажирское,window_set,"{""action"": ""close"", ""window"": ""passenger"", ""percent"": 0}"
"Отодвинуй левое окно наполовину, пожалуйста",window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 50}"
Подними все стекла на десять процентов,window_set,"{""action"": ""close"", ""window"": ""all"", ""percent"": 90}"
